Molecule Name,Structure,CDD Number,Similarity Score (%),SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (±),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LE avg IC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LLE,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Dose-response Plot
CVD-0014818, ,,73,CC(C(N)=O)c1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,2.62,2.62,,1,5.6,0.301,2.79, 
CVD-0016354, ,,73,CCCc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,2.65,2.65,,1,5.6,0.325,0.754, 
CVD-0019185, ,,72,COCc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,2.21,2.21,,1,5.7,0.33,2.36, 
CVD-0015030, ,CDD-2563706,72,Fc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,0.353,0.375,0.0302,2,6.4,0.409,2.86, 
CVD-0015030, ,CDD-2563706,72,Fc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,0.396,0.375,0.0302,2,6.4,0.409,2.86, 
CVD-0015041, ,CDD-2563709,72,Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(c1)C#N,0.43,0.431,0.000839,2,6.4,0.387,3.09, 
CVD-0015041, ,CDD-2563709,72,Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(c1)C#N,0.431,0.431,0.000839,2,6.4,0.387,3.09, 
CVD-0015337, ,,72,Clc1ccc(CC(=O)Nc2cncc3ccncc23)cc1Cl,1.79,1.79,,1,5.7,0.366,2.94, 
CVD-0016565, ,CDD-2563860,72,Clc1cccc(CC(=O)Nc2cncc3cc[nH]c23)c1,1.9,1.9,,1,5.7,0.401,3.19, 
CVD-0018810, ,,71,CC(C)(O)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,2.91,2.91,,1,5.5,0.31,2.19, 
CVD-0016084, ,CDD-2424872,71,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NCCC2=CC(Cl)=C(Cl)C=C2)=C1,5.41,5.41,,1,5.3,0.23,-0.849, 
CVD-0018505, ,,71,FC(F)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,2.25,2.25,,1,5.6,0.33,1.84, 
CVD-0019148, ,,71,NC(=O)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,1.59,1.59,,1,5.8,0.338,3.53, 
CVD-0019166, ,,71,NC(=O)c1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,1.1,1.1,,1,6,0.348,3.69, 
CVD-0016077, ,CDD-2424879,71,CC1=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C2=CC=CC=C2C=C1,2.52,2.52,,1,5.6,0.238,-0.765, 
CVD-0015048, ,CDD-2563878,71,Clc1cncc(CC(=O)Nc2cncc3ccccc23)c1,0.998,0.998,,1,6,0.4,3.8, 
CVD-0015038, ,CDD-2563707,71,Fc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,0.398,0.383,0.0218,2,6.4,0.408,2.85, 
CVD-0015038, ,CDD-2563707,71,Fc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,0.368,0.383,0.0218,2,6.4,0.408,2.85, 
CVD-0018476, ,,70,Cc1cc(F)cc2cncc(NC(=O)Cc3cccc(Cl)c3)c12,0.851,0.851,,1,6.1,0.369,1.99, 
CVD-0013966, ,CDD-2386254,70,Fc1cccc2cncc(NC(=O)Cc3cccc(Cl)c3)c12,1.31,1.31,,1,5.9,0.374,2.32, 
CVD-0010618, ,CDD-2563674,70,COc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,0.898,0.898,,1,6,0.368,2.78, 
CVD-0016564, ,CDD-2563776,70,Fc1cccc2c(NC(=O)Cc3cccc(Cl)c3)cncc12,0.89,0.89,,1,6.1,0.385,2.49, 
CVD-0016563, ,,70,Clc1cccc(CC(=O)Nc2cncc3[nH]ccc23)c1,6.19,6.19,,1,5.2,0.365,2.68, 
CVD-0016582, ,CDD-2563868,70,Clc1cccc(CC(=O)Nc2cncc3cn[nH]c23)c1,2.1,2.1,,1,5.7,0.397,3.57, 
CVD-0019183, ,,70,OC(=O)c1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,1.63,1.63,,1,5.8,0.338,2.95, 
CVD-0019184, ,,70,OC(=O)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1,3.81,3.81,,1,5.4,0.316,3.3, 
